2018-11-02 13:56:34.5263| Debug | Quartz.Simpl.TaskSchedulingThreadPool.Initialize | TaskSchedulingThreadPool configured with max concurrency of 10 and TaskScheduler ThreadPoolTaskScheduler.
2018-11-02 13:56:34.5263| Debug | Quartz.Simpl.TaskSchedulingThreadPool.Initialize | TaskSchedulingThreadPool configured with max concurrency of 10 and TaskScheduler ThreadPoolTaskScheduler.
2018-11-02 13:56:35.3582| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 13:56:35.3582| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 13:56:35.4390| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 13:56:35.4390| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 13:56:35.5813| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.44aed752-e283-44cd-acec-1fae7b583499', class=WebApiCrud.Controllers.TareaMinuto
2018-11-02 13:56:35.5813| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.44aed752-e283-44cd-acec-1fae7b583499', class=WebApiCrud.Controllers.TareaMinuto
2018-11-02 13:56:35.6202| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 13:56:35.6202| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 13:56:35.6331| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.735e451d-8ca2-44e8-a768-09be15960b0d', class=WebApiCrud.Controllers.TareaHora
2018-11-02 13:56:35.6331| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.735e451d-8ca2-44e8-a768-09be15960b0d', class=WebApiCrud.Controllers.TareaHora
2018-11-02 13:56:35.6331| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 13:56:35.6331| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
